tenure,Contract,MonthlyCharges,TotalCharges,cluster,segment,Churn
41,2,20.65,835.15,2,Loyal Customers,0
27,0,85.2,2151.6,3,New Users,0
56,1,99.8,5515.45,0,Passive Users,0
6,0,20.7,112.75,1,At-Risk Customers,0
3,0,74.4,229.55,3,New Users,1
7,0,50.7,350.35,1,At-Risk Customers,0
4,0,20.85,62.9,1,At-Risk Customers,0
33,2,88.95,3027.65,0,Passive Users,0
27,0,78.05,2135.5,3,New Users,1
72,2,23.55,1723.95,2,Loyal Customers,0
1,0,19.75,19.75,1,At-Risk Customers,0
71,1,56.45,3985.35,0,Passive Users,0
13,0,85.95,1215.65,3,New Users,0
25,0,58.6,1502.65,3,New Users,1
67,2,50.55,3260.1,2,Loyal Customers,0
1,0,35.45,35.45,1,At-Risk Customers,1
2,0,44.35,81.25,1,At-Risk Customers,1
43,2,25.7,1188.2,2,Loyal Customers,0
23,0,75.0,1778.5,3,New Users,0
64,2,20.2,1277.75,2,Loyal Customers,0
57,2,19.6,1170.55,2,Loyal Customers,0
1,0,70.45,70.45,3,New Users,1
72,2,88.05,6425.65,0,Passive Users,0
8,0,71.15,563.65,3,New Users,1
61,2,101.05,5971.25,0,Passive Users,0
64,1,84.3,5289.05,0,Passive Users,0
71,2,23.95,1756.2,2,Loyal Customers,0
65,2,99.05,6416.7,0,Passive Users,0
3,1,19.6,61.35,1,At-Risk Customers,0
1,0,45.65,45.65,1,At-Risk Customers,1
30,1,64.5,1929.95,3,New Users,0
15,0,69.5,1071.4,3,New Users,0
8,0,68.55,564.35,3,New Users,0
7,0,95.0,655.5,3,New Users,1
70,1,108.15,7930.55,0,Passive Users,0
62,2,86.1,5215.25,0,Passive Users,0
6,0,19.7,113.5,1,At-Risk Customers,0
14,0,80.9,1152.8,3,New Users,0
22,0,84.15,1821.95,3,New Users,0
22,1,20.15,419.9,1,At-Risk Customers,0
16,2,64.25,1024.0,2,Loyal Customers,0
10,2,25.7,251.6,2,Loyal Customers,0
13,0,56.0,764.55,1,At-Risk Customers,0
20,0,82.4,1592.35,3,New Users,1
2,0,69.7,135.2,3,New Users,0
53,2,73.9,3958.25,0,Passive Users,0
11,1,20.6,233.9,1,At-Risk Customers,0
69,2,19.9,1363.45,2,Loyal Customers,0
4,0,70.9,273.0,3,New Users,1
72,2,89.05,6254.45,0,Passive Users,0
58,0,45.3,2651.2,3,New Users,1
16,0,20.4,321.4,1,At-Risk Customers,0
43,1,84.25,3539.25,0,Passive Users,0
2,0,104.4,242.8,3,New Users,1
14,2,81.95,1181.75,2,Loyal Customers,0
53,1,94.85,5000.2,0,Passive Users,1
32,1,20.55,654.55,2,Loyal Customers,0
34,0,24.7,780.2,1,At-Risk Customers,0
15,0,74.45,1145.7,3,New Users,1
7,0,76.45,503.6,3,New Users,1
15,0,105.35,1559.25,3,New Users,0
61,1,20.55,1252.0,2,Loyal Customers,0
1,0,29.95,29.95,1,At-Risk Customers,1
1,0,45.3,45.3,1,At-Risk Customers,0
8,0,84.5,662.65,3,New Users,1
33,1,74.75,2453.3,3,New Users,0
13,0,79.25,1111.65,3,New Users,1
1,0,24.8,24.8,1,At-Risk Customers,1
20,0,51.8,1023.85,1,At-Risk Customers,0
3,0,30.4,82.15,1,At-Risk Customers,0
13,1,19.65,244.8,1,At-Risk Customers,0
40,0,56.6,2379.1,3,New Users,0
43,1,71.9,3173.35,0,Passive Users,0
6,0,91.0,531.0,3,New Users,1
69,2,19.75,1375.4,2,Loyal Customers,0
72,2,109.7,8129.3,0,Passive Users,0
59,2,19.3,1192.7,2,Loyal Customers,0
20,0,96.55,1901.65,3,New Users,0
24,2,24.1,587.4,2,Loyal Customers,0
59,0,111.35,6519.75,0,Passive Users,0
72,2,112.25,8041.65,0,Passive Users,0
1,0,20.75,20.75,1,At-Risk Customers,0
27,1,101.9,2681.15,3,New Users,0
14,0,80.05,1112.3,3,New Users,0
71,2,105.55,7405.5,0,Passive Users,0
13,0,78.3,1033.95,3,New Users,0
44,0,68.85,2958.95,3,New Users,0
33,1,79.95,2684.85,3,New Users,0
72,2,55.45,4179.2,0,Passive Users,0
1,0,79.9,79.9,3,New Users,1
19,0,106.6,1934.45,3,New Users,1
64,1,102.45,6654.1,0,Passive Users,0
2,0,46.0,84.5,1,At-Risk Customers,1
1,0,25.25,25.25,1,At-Risk Customers,0
61,2,19.75,1124.2,2,Loyal Customers,0
29,1,20.0,540.05,2,Loyal Customers,0
23,0,86.8,1975.85,3,New Users,0
57,0,58.75,3437.45,3,New Users,0
72,2,45.25,3139.8,2,Loyal Customers,0
66,2,56.6,3789.2,2,Loyal Customers,0
65,2,84.2,5324.5,0,Passive Users,0
8,0,80.0,624.6,3,New Users,0
4,0,70.15,268.35,3,New Users,1
71,2,24.75,1836.9,2,Loyal Customers,0
1,1,20.2,20.2,1,At-Risk Customers,0
4,0,50.05,179.35,1,At-Risk Customers,1
12,1,19.35,219.35,1,At-Risk Customers,0
24,1,50.6,1288.75,1,At-Risk Customers,0
31,1,81.15,2545.75,3,New Users,0
1,0,55.2,55.2,1,At-Risk Customers,1
30,0,89.9,2723.15,3,New Users,0
47,2,85.3,4107.25,0,Passive Users,0
54,2,108.0,5760.65,0,Passive Users,0
50,0,93.5,4747.5,0,Passive Users,0
1,0,84.6,84.6,3,New Users,1
72,2,20.25,1566.9,2,Loyal Customers,0
29,0,25.15,702.0,1,At-Risk Customers,0
2,0,54.4,114.1,1,At-Risk Customers,1
10,2,29.6,299.05,2,Loyal Customers,0
18,0,73.15,1305.95,3,New Users,0
11,0,95.0,1120.3,3,New Users,1
16,2,19.75,284.35,2,Loyal Customers,0
72,2,86.6,6350.5,0,Passive Users,0
72,2,109.2,7878.3,0,Passive Users,0
41,1,74.7,3187.65,0,Passive Users,0
65,0,94.4,6126.15,0,Passive Users,0
13,0,54.8,731.3,1,At-Risk Customers,0
4,0,75.35,273.4,3,New Users,0
41,1,65.0,2531.8,2,Loyal Customers,0
15,0,74.4,1074.3,3,New Users,1
1,0,48.55,48.55,1,At-Risk Customers,1
42,1,99.0,4298.45,0,Passive Users,0
51,1,93.5,4619.55,0,Passive Users,0
2,0,70.4,147.15,3,New Users,1
1,0,40.2,40.2,1,At-Risk Customers,1
32,1,83.7,2633.3,3,New Users,0
10,0,19.85,193.05,1,At-Risk Customers,0
67,2,59.55,4103.9,0,Passive Users,0
61,2,115.1,7008.15,0,Passive Users,0
50,1,114.35,5791.1,0,Passive Users,0
2,0,44.6,80.55,1,At-Risk Customers,1
29,0,45.0,1228.65,1,At-Risk Customers,0
3,0,41.15,132.2,1,At-Risk Customers,1
13,0,106.9,1364.3,3,New Users,1
57,0,89.85,4925.35,0,Passive Users,0
31,2,49.85,1520.1,2,Loyal Customers,0
45,1,113.3,5032.25,0,Passive Users,0
61,2,88.1,5526.75,0,Passive Users,0
50,2,24.9,1195.25,2,Loyal Customers,0
19,0,105.0,2007.25,3,New Users,0
59,2,19.35,1099.6,2,Loyal Customers,1
71,2,24.25,1732.95,2,Loyal Customers,0
16,0,94.45,1511.2,3,New Users,1
57,2,59.75,3450.15,2,Loyal Customers,0
1,0,24.8,24.8,1,At-Risk Customers,1
20,0,107.05,2172.05,3,New Users,0
1,0,70.6,70.6,3,New Users,1
5,0,85.4,401.1,3,New Users,1
52,0,105.05,5624.85,0,Passive Users,1
21,0,64.95,1339.8,3,New Users,0
14,0,55.0,771.95,1,At-Risk Customers,0
5,0,50.55,244.75,1,At-Risk Customers,0
6,0,55.15,322.9,1,At-Risk Customers,0
10,0,51.2,498.25,1,At-Risk Customers,0
1,0,25.4,25.4,1,At-Risk Customers,0
68,0,54.45,3687.75,0,Passive Users,0
18,0,95.15,1779.95,3,New Users,1
22,1,76.0,1783.6,3,New Users,0
20,0,44.35,927.15,1,At-Risk Customers,0
1,0,70.0,70.0,3,New Users,1
8,0,74.5,606.55,3,New Users,1
10,0,44.85,435.4,1,At-Risk Customers,1
24,0,76.1,1712.7,3,New Users,1
35,1,61.2,2021.2,2,Loyal Customers,0
23,1,86.8,1940.8,3,New Users,0
6,0,89.35,567.8,3,New Users,0
12,0,19.7,220.35,1,At-Risk Customers,0
1,0,20.25,20.25,1,At-Risk Customers,0
71,2,76.05,5436.45,0,Passive Users,0
35,0,100.8,3437.5,3,New Users,0
40,0,74.55,3015.75,3,New Users,0
1,0,73.6,73.6,3,New Users,1
23,1,64.9,1509.8,3,New Users,0
4,0,95.45,396.1,3,New Users,1
4,0,90.4,356.65,3,New Users,0
68,2,60.3,4109.0,0,Passive Users,0
38,0,81.85,3141.7,3,New Users,0
52,2,24.8,1229.1,2,Loyal Customers,0
32,0,74.9,2303.35,3,New Users,1
29,2,75.55,2054.4,2,Loyal Customers,0
38,0,101.15,3741.85,3,New Users,0
48,1,78.75,3682.45,0,Passive Users,0
1,0,19.25,19.25,1,At-Risk Customers,0
22,0,89.05,1886.25,3,New Users,0
43,2,115.05,4895.1,0,Passive Users,0
5,0,69.35,341.6,3,New Users,0
5,0,80.6,415.55,3,New Users,1
51,1,110.05,5686.4,0,Passive Users,0
71,2,19.9,1355.1,2,Loyal Customers,0
38,1,80.3,3058.65,3,New Users,1
24,0,93.15,2231.05,3,New Users,1
35,0,91.5,3236.35,3,New Users,0
54,1,82.45,4350.1,0,Passive Users,1
72,2,60.0,4264.0,0,Passive Users,0
1,0,44.8,44.8,1,At-Risk Customers,0
9,1,48.6,422.3,1,At-Risk Customers,0
69,2,60.05,4176.7,0,Passive Users,0
52,0,102.7,5138.1,0,Passive Users,0
11,0,82.9,880.05,3,New Users,0
2,0,70.35,139.05,3,New Users,1
28,0,35.9,973.65,1,At-Risk Customers,0
17,0,82.65,1470.05,3,New Users,0
35,2,19.85,739.35,2,Loyal Customers,0
8,1,19.2,161.95,1,At-Risk Customers,0
46,1,94.9,4422.95,0,Passive Users,0
7,0,73.85,511.25,3,New Users,1
2,0,80.6,155.8,3,New Users,1
68,1,75.8,5293.95,0,Passive Users,1
43,2,104.6,4759.85,0,Passive Users,1
68,2,88.15,6148.45,0,Passive Users,0
36,0,94.8,3565.65,3,New Users,0
63,0,103.4,6603.0,0,Passive Users,1
32,0,54.65,1830.1,3,New Users,0
71,2,85.75,6223.8,0,Passive Users,0
66,0,67.45,4508.65,0,Passive Users,0
63,1,20.5,1328.15,2,Loyal Customers,0
41,1,20.25,865.0,2,Loyal Customers,0
1,0,72.1,72.1,3,New Users,0
2,0,90.4,168.2,3,New Users,1
70,2,19.45,1303.5,2,Loyal Customers,0
23,0,44.95,996.85,1,At-Risk Customers,0
64,1,97.0,6430.9,0,Passive Users,0
37,2,62.8,2278.75,2,Loyal Customers,0
17,1,44.6,681.4,1,At-Risk Customers,0
7,0,89.15,574.35,3,New Users,0
4,0,84.8,371.9,3,New Users,1
21,0,41.9,840.1,1,At-Risk Customers,1
10,0,80.25,846.0,3,New Users,1
16,0,54.1,889.0,1,At-Risk Customers,0
64,2,105.25,6823.4,0,Passive Users,0
27,0,30.75,805.1,1,At-Risk Customers,1
42,1,97.1,4016.75,0,Passive Users,0
5,0,20.2,83.75,1,At-Risk Customers,0
41,2,98.8,3959.15,0,Passive Users,0
58,1,50.3,2878.55,2,Loyal Customers,0
47,2,20.55,945.7,2,Loyal Customers,0
18,0,75.9,1373.05,3,New Users,0
5,0,96.5,492.55,3,New Users,1
23,0,59.95,1406.0,3,New Users,0
1,0,19.15,19.15,1,At-Risk Customers,0
71,1,98.65,6962.85,0,Passive Users,0
72,2,112.6,8126.65,0,Passive Users,0
33,1,20.6,690.25,2,Loyal Customers,0
2,0,85.65,181.5,3,New Users,1
24,2,35.75,830.8,2,Loyal Customers,0
56,1,99.75,5608.4,0,Passive Users,0
37,0,96.1,3646.8,3,New Users,0
43,1,85.1,3662.25,0,Passive Users,0
1,0,25.35,25.35,1,At-Risk Customers,0
25,0,104.95,2566.5,3,New Users,1
61,2,89.65,5308.7,0,Passive Users,0
17,1,86.75,1410.25,3,New Users,0
41,1,86.2,3339.05,0,Passive Users,0
1,0,50.65,50.65,1,At-Risk Customers,1
72,2,64.8,4732.35,0,Passive Users,0
1,0,90.85,90.85,3,New Users,1
48,2,108.1,5067.45,0,Passive Users,0
11,0,19.95,214.75,1,At-Risk Customers,1
55,0,85.45,4874.7,0,Passive Users,1
42,1,54.75,2348.45,2,Loyal Customers,0
44,0,90.4,4063.0,3,New Users,0
1,0,44.0,44.0,1,At-Risk Customers,0
27,0,95.6,2595.25,3,New Users,0
27,0,84.8,2309.55,3,New Users,0
2,0,44.3,89.3,1,At-Risk Customers,0
19,0,19.9,367.55,1,At-Risk Customers,0
42,0,95.05,3944.5,3,New Users,0
66,2,90.05,5965.95,0,Passive Users,0
33,0,109.9,3694.7,3,New Users,0
34,0,73.95,2524.45,3,New Users,1
33,0,54.6,1803.7,3,New Users,0
23,1,20.05,415.1,1,At-Risk Customers,0
32,1,19.75,624.15,2,Loyal Customers,0
11,1,20.05,237.7,1,At-Risk Customers,0
69,0,99.45,7007.6,0,Passive Users,1
68,1,55.9,3848.8,0,Passive Users,0
20,2,19.7,419.4,2,Loyal Customers,0
72,2,19.8,1468.75,2,Loyal Customers,0
60,1,95.4,5812.0,0,Passive Users,0
32,0,93.95,2861.45,3,New Users,0
1,0,19.9,19.9,1,At-Risk Customers,1
1,0,19.6,19.6,1,At-Risk Customers,1
3,0,81.35,233.7,3,New Users,1
46,1,24.45,1066.15,2,Loyal Customers,0
29,0,74.95,2149.05,3,New Users,0
51,0,87.35,4473.0,0,Passive Users,0
48,0,70.65,3545.05,3,New Users,0
16,0,73.25,1195.75,3,New Users,0
70,2,98.7,6858.9,0,Passive Users,0
40,2,24.8,1024.7,2,Loyal Customers,0
22,0,83.3,1845.9,3,New Users,1
1,0,75.3,75.3,3,New Users,1
5,0,24.3,132.25,1,At-Risk Customers,0
7,0,69.85,515.45,3,New Users,0
29,1,100.55,2830.45,3,New Users,0
44,1,25.7,1110.5,2,Loyal Customers,0
10,0,40.7,449.3,1,At-Risk Customers,0
55,0,51.65,2838.55,3,New Users,0
52,1,105.1,5376.4,0,Passive Users,0
10,0,85.95,858.6,3,New Users,0
18,0,75.6,1395.05,3,New Users,0
68,1,58.25,3975.7,0,Passive Users,0
61,0,19.4,1182.55,2,Loyal Customers,1
72,2,65.2,4784.45,0,Passive Users,0
2,0,53.45,119.5,1,At-Risk Customers,0
12,0,45.4,518.9,1,At-Risk Customers,1
41,2,19.75,899.45,2,Loyal Customers,0
26,0,44.45,1183.8,1,At-Risk Customers,0
36,1,20.85,720.05,2,Loyal Customers,0
72,2,114.05,8468.2,0,Passive Users,0
35,0,89.85,3161.2,3,New Users,0
1,0,55.05,55.05,1,At-Risk Customers,0
16,0,112.95,1882.55,3,New Users,0
49,0,101.55,5070.4,0,Passive Users,0
54,1,114.65,6049.5,0,Passive Users,0
18,0,64.8,1166.7,3,New Users,0
36,0,80.4,2937.65,3,New Users,0
60,0,105.9,6396.45,0,Passive Users,1
1,0,69.55,69.55,3,New Users,1
52,2,25.05,1270.25,2,Loyal Customers,0
8,0,94.75,759.55,3,New Users,0
72,2,105.5,7611.55,0,Passive Users,0
64,1,24.7,1642.75,2,Loyal Customers,0
22,0,69.75,1545.4,3,New Users,0
60,0,60.2,3582.4,3,New Users,0
28,0,81.05,2227.1,3,New Users,1
61,2,24.4,1417.9,2,Loyal Customers,0
24,0,104.15,2494.65,3,New Users,0
28,1,92.9,2768.35,3,New Users,0
30,2,80.8,2369.3,2,Loyal Customers,0
2,0,20.0,38.0,1,At-Risk Customers,0
1,0,75.1,75.1,3,New Users,0
6,0,19.65,100.9,1,At-Risk Customers,0
24,0,69.45,1614.05,3,New Users,0
4,0,101.15,385.9,3,New Users,1
7,0,99.8,673.25,3,New Users,1
72,2,116.05,8404.9,0,Passive Users,0
70,2,40.05,2799.75,2,Loyal Customers,0
64,2,102.1,6538.45,0,Passive Users,0
72,1,89.7,6588.95,0,Passive Users,0
44,2,19.9,868.1,2,Loyal Customers,0
13,0,55.95,734.35,1,At-Risk Customers,1
17,1,20.65,330.6,1,At-Risk Customers,0
1,0,55.0,55.0,1,At-Risk Customers,1
9,0,70.05,564.4,3,New Users,0
24,0,53.6,1315.35,3,New Users,0
1,0,74.7,74.7,3,New Users,1
24,0,80.25,1861.5,3,New Users,1
35,0,76.05,2747.2,3,New Users,0
7,0,75.7,554.05,3,New Users,0
5,0,96.1,453.4,3,New Users,1
15,0,69.0,994.8,3,New Users,1
11,2,19.65,225.75,2,Loyal Customers,0
48,0,45.3,2145.0,3,New Users,1
20,0,81.45,1671.6,3,New Users,0
72,1,108.5,8003.8,0,Passive Users,0
8,0,83.55,680.05,3,New Users,1
72,2,84.5,6130.85,0,Passive Users,0
15,0,100.15,1415.0,3,New Users,0
72,2,88.6,6201.95,0,Passive Users,0
0,2,52.55,1397.475,2,Loyal Customers,0
1,0,74.35,74.35,3,New Users,1
63,2,104.8,6597.25,0,Passive Users,0
2,0,59.0,114.15,1,At-Risk Customers,0
2,0,74.4,139.4,3,New Users,1
61,1,64.05,3902.6,0,Passive Users,0
1,0,20.4,20.4,1,At-Risk Customers,0
22,1,43.75,903.6,1,At-Risk Customers,1
28,0,60.9,1785.65,3,New Users,0
70,2,19.8,1397.65,2,Loyal Customers,0
5,0,28.45,131.05,1,At-Risk Customers,1
12,0,99.7,1238.45,3,New Users,1
34,1,116.25,3899.05,0,Passive Users,0
71,2,80.7,5676.0,0,Passive Users,0
70,1,65.2,4543.15,0,Passive Users,0
52,0,84.05,4326.8,0,Passive Users,0
69,2,79.45,5502.55,0,Passive Users,0
20,0,94.1,1782.4,3,New Users,1
11,0,78.0,851.8,3,New Users,0
2,0,94.2,167.5,3,New Users,1
6,0,80.5,502.85,3,New Users,1
1,0,19.85,19.85,1,At-Risk Customers,0
20,1,94.3,1818.3,3,New Users,0
61,0,106.45,6300.15,0,Passive Users,0
5,0,74.35,334.8,3,New Users,1
56,0,105.45,5916.95,0,Passive Users,0
30,0,95.0,2852.4,3,New Users,0
40,0,104.8,4131.95,3,New Users,1
28,1,54.3,1546.3,2,Loyal Customers,0
5,0,70.05,302.6,3,New Users,0
27,0,75.2,1929.35,3,New Users,1
12,0,20.05,265.45,1,At-Risk Customers,0
67,1,105.4,6989.45,0,Passive Users,0
29,0,51.6,1442.0,3,New Users,0
55,0,85.5,4713.4,0,Passive Users,0
23,0,75.6,1758.6,3,New Users,1
34,0,100.05,3480.0,3,New Users,1
52,1,91.25,4738.3,0,Passive Users,0
72,2,115.75,8399.15,0,Passive Users,0
58,1,94.7,5430.35,0,Passive Users,0
35,2,19.6,686.95,2,Loyal Customers,0
56,2,99.9,5706.3,0,Passive Users,0
24,2,21.1,490.65,2,Loyal Customers,0
70,2,20.05,1360.25,2,Loyal Customers,0
2,0,79.95,174.45,3,New Users,0
68,1,107.15,7379.8,0,Passive Users,0
1,0,85.0,85.0,3,New Users,1
12,0,89.55,1021.75,3,New Users,0
63,0,81.55,5029.05,0,Passive Users,0
33,1,58.45,1955.4,2,Loyal Customers,0
69,1,95.65,6744.2,0,Passive Users,0
60,2,80.6,4946.7,0,Passive Users,0
72,2,113.1,8248.5,0,Passive Users,0
11,0,58.95,601.6,1,At-Risk Customers,0
1,0,19.55,19.55,1,At-Risk Customers,0
10,0,86.05,834.1,3,New Users,1
13,0,45.55,597.0,1,At-Risk Customers,1
34,1,78.95,2647.2,3,New Users,0
39,0,86.3,3266.0,3,New Users,1
65,1,105.05,6744.25,0,Passive Users,0
50,1,101.9,5265.5,0,Passive Users,0
15,0,19.75,311.6,1,At-Risk Customers,0
72,2,110.3,7966.9,0,Passive Users,0
72,2,115.6,8220.4,0,Passive Users,0
55,2,19.35,1153.25,2,Loyal Customers,0
23,2,25.6,514.75,2,Loyal Customers,0
32,0,80.35,2596.15,3,New Users,1
56,1,68.75,3808.0,0,Passive Users,0
1,0,19.9,19.9,1,At-Risk Customers,0
38,1,70.6,2708.2,3,New Users,0
11,0,70.2,760.05,3,New Users,0
1,0,49.3,49.3,1,At-Risk Customers,0
56,1,107.25,6033.3,0,Passive Users,0
3,0,23.6,89.05,1,At-Risk Customers,0
7,0,69.7,516.15,3,New Users,0
59,2,99.5,5861.75,0,Passive Users,0
7,0,64.3,445.95,3,New Users,0
71,2,70.85,4973.4,0,Passive Users,0
15,1,101.9,1667.25,3,New Users,0
71,2,73.5,5357.75,0,Passive Users,0
35,0,100.25,3527.6,3,New Users,1
11,1,40.4,422.6,1,At-Risk Customers,0
60,2,19.25,1103.25,2,Loyal Customers,0
47,2,59.6,2754.0,2,Loyal Customers,0
11,1,64.9,697.25,3,New Users,0
56,1,100.3,5614.45,0,Passive Users,1
28,0,110.85,3204.4,3,New Users,0
61,2,81.05,4747.65,0,Passive Users,0
31,1,98.05,3082.1,3,New Users,0
9,0,70.5,597.9,3,New Users,0
35,0,94.55,3365.4,3,New Users,0
2,0,19.65,38.8,1,At-Risk Customers,0
12,0,19.0,233.55,1,At-Risk Customers,1
1,0,75.3,75.3,3,New Users,1
4,0,89.2,346.2,3,New Users,1
1,0,19.0,19.0,1,At-Risk Customers,0
3,0,20.0,61.7,1,At-Risk Customers,0
1,0,85.7,85.7,3,New Users,1
52,2,63.25,3342.45,2,Loyal Customers,0
5,1,20.1,85.1,1,At-Risk Customers,0
72,2,99.15,7422.1,0,Passive Users,0
71,2,90.4,6668.05,0,Passive Users,0
72,2,111.9,8071.05,0,Passive Users,0
46,1,24.9,1174.8,2,Loyal Customers,0
63,2,83.5,5435.0,0,Passive Users,0
30,0,84.3,2438.6,3,New Users,0
1,0,45.6,45.6,1,At-Risk Customers,0
12,0,61.65,713.75,3,New Users,1
16,2,54.85,916.15,2,Loyal Customers,0
4,0,65.55,237.2,3,New Users,0
51,1,90.35,4614.55,0,Passive Users,0
65,2,20.4,1414.45,2,Loyal Customers,0
16,0,74.55,1170.5,3,New Users,0
2,1,19.95,47.7,1,At-Risk Customers,0
66,1,74.25,4859.25,0,Passive Users,0
46,2,108.65,4903.2,0,Passive Users,0
32,1,109.55,3608.0,0,Passive Users,0
72,2,86.65,6094.25,0,Passive Users,0
38,2,81.0,3084.9,0,Passive Users,0
51,1,47.85,2356.75,2,Loyal Customers,0
72,2,114.55,8306.05,0,Passive Users,0
65,0,105.25,6786.4,0,Passive Users,1
